scenario,round,client,value
global_overlap_50,1,client_3,0.2700833333333333
global_overlap_50,2,client_1,0.023550000000000015
global_overlap_50,2,client_2,0.026500000000000024
global_overlap_50,2,client_3,0.03325
global_overlap_50,3,client_1,0.0037500000000000124
global_overlap_50,3,client_2,0.002449999999999989
global_overlap_50,3,client_3,0.008199999999999966
global_overlap_50,4,client_1,0.0031499999999999857
global_overlap_50,4,client_2,0.003900000000000014
global_overlap_50,4,client_3,0.003650000000000042
global_overlap_50,5,client_1,-0.00023333333333332607
global_overlap_50,5,client_2,0.00016666666666662988
global_overlap_50,5,client_3,0.004366666666666666
pairwise_overlap_75,1,client_1,0.23291666666666666
pairwise_overlap_75,1,client_2,0.25986666666666663
pairwise_overlap_75,1,client_3,0.2685166666666667
pairwise_overlap_75,2,client_1,0.022083333333333323
pairwise_overlap_75,2,client_2,0.02828333333333331
pairwise_overlap_75,2,client_3,0.02893333333333329
pairwise_overlap_75,3,client_1,0.0020833333333333814
pairwise_overlap_75,3,client_2,0.011083333333333332
pairwise_overlap_75,3,client_3,0.003333333333333355
pairwise_overlap_75,4,client_1,0.002433333333333361
pairwise_overlap_75,4,client_2,0.003283333333333323
pairwise_overlap_75,4,client_3,0.002283333333333322
pairwise_overlap_75,5,client_1,-0.0019333333333333425
pairwise_overlap_75,5,client_2,0.00441666666666668
pairwise_overlap_75,5,client_3,0.00551666666666667
global_overlap_75,1,client_1,0.23501666666666665
global_overlap_75,1,client_2,0.2539166666666667
global_overlap_75,1,client_3,0.2775666666666666
global_overlap_75,2,client_1,0.019966666666666633
global_overlap_75,2,client_2,0.022566666666666676
global_overlap_75,2,client_3,0.02706666666666668
global_overlap_75,3,client_1,0.004916666666666643
global_overlap_75,3,client_2,0.005066666666666682
global_overlap_75,3,client_3,0.006316666666666655
global_overlap_75,4,client_1,0.0023499999999999814
global_overlap_75,4,client_2,0.00579999999999999
global_overlap_75,4,client_3,0.004249999999999994
global_overlap_75,5,client_1,-0.0013833333333333107
global_overlap_75,5,client_2,0.005516666666666651
global_overlap_75,5,client_3,0.0012666666666667306
pairwise_overlap_100,1,client_1,0.24608333333333335
pairwise_overlap_100,1,client_2,0.26258333333333334
pairwise_overlap_100,1,client_3,0.26773333333333327
pairwise_overlap_100,2,client_1,0.018349999999999998
pairwise_overlap_100,2,client_2,0.024099999999999972
pairwise_overlap_100,2,client_3,0.019150000000000018
pairwise_overlap_100,3,client_1,0.0037333333333333103
pairwise_overlap_100,3,client_2,0.009983333333333344
pairwise_overlap_100,3,client_3,0.0005833333333333246
pairwise_overlap_100,4,client_1,0.0037333333333333294
pairwise_overlap_100,4,client_2,0.00473333333333333
pairwise_overlap_100,4,client_3,0.0033333333333333734
pairwise_overlap_100,5,client_1,-0.0007166666666666432
pairwise_overlap_100,5,client_2,0.005883333333333296
pairwise_overlap_100,5,client_3,0.0015333333333332755
global_overlap_100,1,client_1,0.2343833333333333
global_overlap_100,1,client_2,0.24783333333333332
global_overlap_100,1,client_3,0.2749833333333333
global_overlap_100,2,client_1,0.027033333333333336
global_overlap_100,2,client_2,0.026983333333333342
global_overlap_100,2,client_3,0.024483333333333336
global_overlap_100,3,client_1,0.006066666666666683
global_overlap_100,3,client_2,0.007216666666666612
global_overlap_100,3,client_3,0.0020166666666666853
global_overlap_100,4,client_1,0.00526666666666666
global_overlap_100,4,client_2,0.004616666666666677
global_overlap_100,4,client_3,0.003316666666666653
global_overlap_100,5,client_1,-0.00026666666666671124
global_overlap_100,5,client_2,0.00448333333333332
global_overlap_100,5,client_3,0.0012833333333333399
noniid_pairwise_overlap_0,1,client_1,0.21533333333333332
noniid_pairwise_overlap_0,1,client_2,0.1708333333333333
noniid_pairwise_overlap_0,1,client_3,0.21523333333333333
noniid_pairwise_overlap_0,2,client_1,0.057083333333333354
noniid_pairwise_overlap_0,2,client_2,0.05293333333333333
noniid_pairwise_overlap_0,2,client_3,0.06568333333333329
noniid_pairwise_overlap_0,3,client_1,0.0018166666666666748
noniid_pairwise_overlap_0,3,client_2,0.031066666666666715
noniid_pairwise_overlap_0,3,client_3,0.013516666666666732
noniid_pairwise_overlap_0,4,client_1,-0.016850000000000018
noniid_pairwise_overlap_0,4,client_2,0.04680000000000001
noniid_pairwise_overlap_0,4,client_3,-0.014350000000000002
noniid_pairwise_overlap_0,5,client_1,-0.03079999999999998
noniid_pairwise_overlap_0,5,client_2,0.06444999999999998
noniid_pairwise_overlap_0,5,client_3,-0.02015000000000003
noniid_global_overlap_0,1,client_1,0.1364
noniid_global_overlap_0,1,client_2,0.13135000000000002
noniid_global_overlap_0,1,client_3,0.13344999999999999
noniid_global_overlap_0,2,client_1,0.003233333333333347
noniid_global_overlap_0,2,client_2,0.0016833333333333513
noniid_global_overlap_0,2,client_3,0.0024833333333333183
noniid_global_overlap_0,3,client_1,-0.0023166666666666336
noniid_global_overlap_0,3,client_2,0.002883333333333349
