Method,N Clients,Runtime (seconds)
LOO,3,5.214359998703003
LOO,4,7.359711170196533
LOO,5,11.131916761398315
LOO,6,17.222166061401367
LOO,8,31.446458101272583
LOO,10,48.37392997741699
Exact Shapley,3,7.618034839630127
Exact Shapley,4,18.80124020576477
Exact Shapley,5,45.09391808509827
TMC-Shapley,3,35.7515389919281
TMC-Shapley,4,56.379820585250854
TMC-Shapley,5,66.4691870212555
TMC-Shapley,6,75.53605580329895
TMC-Shapley,8,111.34414005279541
TMC-Shapley,10,170.28454303741455
