scenario,method,round,client,value
pairwise_overlap_75,exhaustive,2,client_1,0.27825
pairwise_overlap_75,exhaustive,2,client_2,0.28196666666666664
pairwise_overlap_75,exhaustive,2,client_3,0.2819833333333333
pairwise_overlap_75,exhaustive,3,client_1,0.2835
pairwise_overlap_75,exhaustive,3,client_2,0.28846666666666665
pairwise_overlap_75,exhaustive,3,client_3,0.28809999999999997
pairwise_overlap_75,exhaustive,4,client_1,0.28853333333333336
pairwise_overlap_75,exhaustive,4,client_2,0.29078333333333334
pairwise_overlap_75,exhaustive,4,client_3,0.28863333333333335
pairwise_overlap_75,exhaustive,5,client_1,0.2890166666666667
pairwise_overlap_75,exhaustive,5,client_2,0.2926666666666667
pairwise_overlap_75,exhaustive,5,client_3,0.2912666666666667
global_overlap_75,exhaustive,1,client_1,0.24409999999999998
global_overlap_75,exhaustive,1,client_2,0.26341666666666663
global_overlap_75,exhaustive,1,client_3,0.2584166666666667
global_overlap_75,exhaustive,2,client_1,0.27896666666666664
global_overlap_75,exhaustive,2,client_2,0.2789333333333333
global_overlap_75,exhaustive,2,client_3,0.28436666666666666
global_overlap_75,exhaustive,3,client_1,0.2848
global_overlap_75,exhaustive,3,client_2,0.28400000000000003
global_overlap_75,exhaustive,3,client_3,0.2902666666666667
global_overlap_75,exhaustive,4,client_1,0.2897666666666667
global_overlap_75,exhaustive,4,client_2,0.29041666666666666
global_overlap_75,exhaustive,4,client_3,0.28833333333333333
global_overlap_75,exhaustive,5,client_1,0.28896666666666665
global_overlap_75,exhaustive,5,client_2,0.2913333333333333
global_overlap_75,exhaustive,5,client_3,0.2919833333333333
pairwise_overlap_100,exhaustive,1,client_1,0.25309999999999994
pairwise_overlap_100,exhaustive,1,client_2,0.2561166666666667
pairwise_overlap_100,exhaustive,1,client_3,0.2641
pairwise_overlap_100,exhaustive,2,client_1,0.27863333333333334
pairwise_overlap_100,exhaustive,2,client_2,0.2829333333333333
pairwise_overlap_100,exhaustive,2,client_3,0.28075
pairwise_overlap_100,exhaustive,3,client_1,0.28695
pairwise_overlap_100,exhaustive,3,client_2,0.2852
pairwise_overlap_100,exhaustive,3,client_3,0.28651666666666664
pairwise_overlap_100,exhaustive,4,client_1,0.2884
pairwise_overlap_100,exhaustive,4,client_2,0.29001666666666664
pairwise_overlap_100,exhaustive,4,client_3,0.2889
pairwise_overlap_100,exhaustive,5,client_1,0.28994999999999993
pairwise_overlap_100,exhaustive,5,client_2,0.29266666666666663
pairwise_overlap_100,exhaustive,5,client_3,0.2904166666666666
global_overlap_100,exhaustive,1,client_1,0.24708333333333335
global_overlap_100,exhaustive,1,client_2,0.26039999999999996
global_overlap_100,exhaustive,1,client_3,0.26211666666666666
global_overlap_100,exhaustive,2,client_1,0.28040000000000004
global_overlap_100,exhaustive,2,client_2,0.27819999999999995
global_overlap_100,exhaustive,2,client_3,0.28309999999999996
global_overlap_100,exhaustive,3,client_1,0.28468333333333334
global_overlap_100,exhaustive,3,client_2,0.2845
global_overlap_100,exhaustive,3,client_3,0.2877166666666666
global_overlap_100,exhaustive,4,client_1,0.2877166666666667
global_overlap_100,exhaustive,4,client_2,0.28981666666666667
global_overlap_100,exhaustive,4,client_3,0.2892333333333333
global_overlap_100,exhaustive,5,client_1,0.2901
global_overlap_100,exhaustive,5,client_2,0.29011666666666663
global_overlap_100,exhaustive,5,client_3,0.2914999999999999
noniid_pairwise_overlap_0,exhaustive,1,client_1,0.21294999999999997
noniid_pairwise_overlap_0,exhaustive,1,client_2,0.16069999999999995
noniid_pairwise_overlap_0,exhaustive,1,client_3,0.21885000000000002
noniid_pairwise_overlap_0,exhaustive,2,client_1,0.27905
noniid_pairwise_overlap_0,exhaustive,2,client_2,0.17901666666666669
noniid_pairwise_overlap_0,exhaustive,2,client_3,0.2747
noniid_pairwise_overlap_0,exhaustive,3,client_1,0.28325
noniid_pairwise_overlap_0,exhaustive,3,client_2,0.19238333333333335
noniid_pairwise_overlap_0,exhaustive,3,client_3,0.2829833333333333
noniid_pairwise_overlap_0,exhaustive,4,client_1,0.28295000000000003
noniid_pairwise_overlap_0,exhaustive,4,client_2,0.2012666666666667
noniid_pairwise_overlap_0,exhaustive,4,client_3,0.28515
noniid_pairwise_overlap_0,exhaustive,5,client_1,0.2825333333333333
noniid_pairwise_overlap_0,exhaustive,5,client_2,0.20515000000000003
noniid_pairwise_overlap_0,exhaustive,5,client_3,0.288
noniid_global_overlap_0,exhaustive,1,client_1,0.1342
noniid_global_overlap_0,exhaustive,1,client_2,0.13436666666666666
noniid_global_overlap_0,exhaustive,1,client_3,0.13333333333333333
noniid_global_overlap_0,exhaustive,2,client_1,0.1364
noniid_global_overlap_0,exhaustive,2,client_2,0.1366
noniid_global_overlap_0,exhaustive,2,client_3,0.13643333333333332
noniid_global_overlap_0,exhaustive,3,client_1,0.13709999999999997
noniid_global_overlap_0,exhaustive,3,client_2,0.13725
noniid_global_overlap_0,exhaustive,3,client_3,0.1370166666666667
noniid_global_overlap_0,exhaustive,4,client_1,0.13721666666666663
noniid_global_overlap_0,exhaustive,4,client_2,0.13756666666666667
noniid_global_overlap_0,exhaustive,4,client_3,0.13751666666666668
noniid_global_overlap_0,exhaustive,5,client_1,0.1379
noniid_global_overlap_0,exhaustive,5,client_2,0.13803333333333337
noniid_global_overlap_0,exhaustive,5,client_3,0.13728333333333334
noniid_pairwise_overlap_25,exhaustive,1,client_1,0.2107
noniid_pairwise_overlap_25,exhaustive,1,client_2,0.15386666666666668
noniid_pairwise_overlap_25,exhaustive,1,client_3,0.22108333333333333
